name,category,brand,description,image_url,base_price,discounted_price,unit,is_loose,min_quantity,max_quantity,rating,rating_count,is_active
"Wrigley's Doublemint Lemon Chewy Mints - 27.3 Gm","chocolates-candies","Wrigley's","Chewing gum and mints from Wrigley (Mars Wrigley).","https://media.dealshare.in/img/offer/BDD5525D4D_1.png",50,45,"27.3 gm",false,1,100,4.5,0,true
"Dettol Icy Cool Soap 150 Gm (Pack Of 5) - 750 Gm","Personal Care","Dettol","Antiseptic soap with germ protection. Refreshing formula for daily hygiene. From Reckitt Benckiser.","https://media.dealshare.in/img/offer/C4C47CEFD3_1.png",294,264,"750 gm",false,1,100,4.5,0,true
"Ganesh Chana Sattu - 200 Gm","Staples","Ganesh","Roasted gram sattu. Traditional Indian staple.","https://images.dealshare.in/1754374759824:BCCD993841_1.png?tr=f-webp",38,36,"200 gm",false,1,100,4.5,0,true
"Lays Indian Magic Masala Potato Chips - 80 Gm","Snacks","Lays","Potato chips from Lay's (PepsiCo). Indian flavors.","https://media.dealshare.in/img/offer/5C9DA174A5_1.png",50,47,"80 gm",false,1,100,4.5,0,true
"Lux Flaw Less Glow Jasmine & Vitamin Soap - 100 Gm (Buy 4 Get 1 Free)","Personal Care","Lux","Luxurious bathing soap with skin-nourishing oils. Available in multiple fragrances. From Unilever.","https://media.dealshare.in/img/offer/1751010092580:4ECD067607_1.png",170,149,"500 gm",false,1,100,4.5,0,true
"Sampoorti White Peas/Vatana - 1 Kg","Staples","Sampoorti","Premium staples and spices. Quality assured.","https://media.dealshare.in/img/offer/1734845912533:330EE353D8_1.webp",110,66,"1 kg",false,1,100,4.5,0,true
"Zodiac K8 Unisex Comb 1 Piece - 1 Unit","Personal Care","Zodiac","Hair comb from Zodiac. Unisex design.","https://media.dealshare.in/img/offer/1715221029Deal54740.webp",30,20,"1 unit",false,1,100,4.5,0,true
"Boro Plus Antiseptic Cream - 80 Ml","Personal Care","Boro Plus","Antiseptic cream for minor cuts and wounds. From Emami.","https://images.dealshare.in/offerImage/1706860841Luc17565_1.webp",150,135,"80 ml",false,1,100,4.5,0,true
"Secret Temptation Passion Body Deodorant For Women - 150 Ml","Personal Care","Secret Temptation","Body deodorant for women. From ITC.","https://media.dealshare.in/img/offer/8813FE8961_1.png",220,148,"150 ml",false,1,100,4.5,0,true
"Himalaya Baby Powder - 100 Gm","Personal Care","Himalaya","Gentle baby powder with 100% herbal actives. Ayurvedic formula, mild and soothing for delicate skin. From Himalaya Wellness.","https://media.dealshare.in/img/offer/151977E3A7_1.webp",115,109,"100 gm",false,1,100,4.5,0,true
"Bella Vita White Oud Eau De Parfum - 100 Ml","Personal Care","Bella Vita","Long-lasting fragrance with premium notes. Indian fragrance brand.","https://media.dealshare.in/img/offer/7C16BBBE67_1.png",599,399,"100 ml",false,1,100,4.5,0,true
"Sampoorti Urad Dal White - 1 Kg","Staples","Sampoorti","Premium staples and spices. Quality assured.","https://media.dealshare.in/img/offer/1734845912651:7891ADCC88_1.webp",220,159,"1 kg",false,1,100,4.5,0,true
"Niine Naturally Soft Regular Sanitary Pads - 6 Units x 3","Personal Care","Niine","Comfortable sanitary pads for daily use. Absorbent and soft. Indian feminine hygiene brand.","https://media.dealshare.in/img/offer/1753873000450:CD1C5FC354_1.png?tr=f-webp",96,48,"3 x 6 units",false,1,100,4.5,0,true
"Cremica Coconut - 900 Gm","Bakery","Cremica","Biscuits and cookies from Cremica (Mrs. Bector's).","https://media.dealshare.in/img/offer/6AF1600575_1.webp",240,120,"900 gm",false,1,100,4.5,0,true
"Everest Turmeric Powder - 100 Gm","Spices","Everest","Spices from Everest. Trusted Indian brand.","https://media.dealshare.in/img/offer/8F8AF818D6_1.webp",46,45,"100 gm",false,1,100,4.5,0,true
"Swaccha Silver Suraksha Soap - 125 Gm x 8","Personal Care","Swaccha","Herbal soap with natural ingredients like neem, tulsi and turmeric.","https://media.dealshare.in/img/offer/1752740806653:C15117AE85_1.png?tr=f-webp",440,189,"8 x 125 gm",false,1,100,4.5,0,true
"Head & Shoulders Anti Dandruff Smooth & Silky Shampoo - 650 Ml","Personal Care","Head & Shoulders","Anti-dandruff shampoo with pyrithione zinc. Leaves hair smooth and dandruff-free. From Procter & Gamble.","https://media.dealshare.in/img/offer/1730722239750:1B5656969C_1.webp",1125,506,"650 ml",false,1,100,4.5,0,true
"Organic India Tulsi Green Tea Classic (tea Bag) - 25 Unit","Beverages","Organic India","Organic tulsi green tea. From Organic India.","https://media.dealshare.in/img/offer/1752486045549:D4F64462B3_1.png",225,185,"25 unit",false,1,100,4.5,0,true
"Tata Agni Tea - 250 Gm","Beverages","Tata Agni","Tea from Tata Consumer. Premium Indian tea.","https://media.dealshare.in/img/offer/1726636263702:6BA1F7CE61_1.webp",60,57,"250 gm",false,1,100,4.5,0,true
"Joy Skin Fruits Fruit Moisturizing Body Lotion - 300 Ml","Personal Care","Joy Skin","Nourishing body lotion for soft, hydrated skin. From ITC.","https://media.dealshare.in/img/offer/0D108AF94F_1.webp",290,145,"300 ml",false,1,100,4.5,0,true
"Vaseline Gluta-Hya Dewy Radiance Serum - In - Lotion - 200 Ml","Personal Care","Vaseline","Lightweight serum enriched with Kakadu Plum (100x more Vitamin C than oranges). Reduces dullness, fights aging and pollution damage. Dermatologically tested.","https://media.dealshare.in/img/offer/1AF4215459_1.png",350,254,"200 ml",false,1,100,4.5,0,true
"Mamypoko Pants Extra Absorb Diaper (L) - Pack Of 36","Personal Care","Mamypoko","Extra absorbent baby diapers from Unicharm. Designed for comfortable fit and leak protection.","https://media.dealshare.in/img/offer/5BFE2D8397_1.webp",799,559,"36 units",false,1,100,4.5,0,true
"Karachi Ajwain Cookies - 400 Gm","Bakery","Karachi","Biscuits and cookies from Cremica (Mrs. Bector's).","https://media.dealshare.in/img/offer/1752051762832:CA92E22311_1.png",240,120,"400 gm",false,1,100,4.5,0,true
"Tide Naturals Detergent Powder (Lemon & Chandan) - 1 Kg","Detergents","Tide Naturals","Detergent powder from Unilever. Effective cleaning.","https://media.dealshare.in/img/offer/899CD75085_1.webp",85,80,"1 kg",false,1,100,4.5,0,true
"Mamypoko Pants Extra Absorb Diaper (S) - Pack Of 48","Personal Care","Mamypoko","Extra absorbent baby diapers from Unicharm. Designed for comfortable fit and leak protection.","https://media.dealshare.in/img/offer/42C8B88884_1.webp",799,559,"48 units",false,1,100,4.5,0,true
"Agro Fresh Dalia - 200 Gm x 4","Staples","Agro Fresh","Fresh atta and dalia. Quality grains.","https://media.dealshare.in/img/offer/1754378191813:B4CCAA3926_1.png?tr=f-webp",80,55,"4 x 200 gm",false,1,100,4.5,0,true
"Godrej No.1 Jasmine Milk Cream Soap - 100 Gm x 5","Personal Care","Godrej No.1","Milk cream soap with natural ingredients. From Godrej Consumer.","https://images.dealshare.in/1753176725363:7C1E3CAB75_1.png?tr=f-webp",145,130,"500 gm",false,1,100,4.5,0,true
"Tata Tea Gold - 100 Gm","Beverages","Tata Tea","Tea from Tata Consumer. Premium Indian tea.","https://media.dealshare.in/img/offer/1723047851551:E3952F24CF_1.webp",50,49,"100 gm",false,1,100,4.5,0,true
"Freshgold Mix Fruit Juice (Tetra) - 1 Ltr (Buy 1 Get 1 Free)","Soft Drinks","Freshgold","Mixed fruit juice. Real fruit content.","https://media.dealshare.in/img/offer/1752838452482:8A3F549908_1.png?tr=f-webp",260,130,"2 x 1 ltr",false,1,100,4.5,0,true
"Aquawhite Soft & Shine Toothbrush With Cap - Pack Of 3","Personal Care","Aquawhite","Soft-bristle toothbrush for oral hygiene.","https://media.dealshare.in/img/offer/1FBFC720C6_1.webp",100,50,"3 units",false,1,100,4.5,0,true
"Swazz Matic Top Load Detergent Powder - 1 Kg","Detergents","Swazz Matic","Detergent powder from Unilever. Effective cleaning.","https://media.dealshare.in/img/offer/1744278313112:201D5A5B19.png?tr=f-webp",300,99,"1 kg",false,1,100,4.5,0,true
"Sampoorti Mirchi Powder - 100 Gm","Spices","Sampoorti","Premium staples and spices. Quality assured.","https://media.dealshare.in/img/offer/1752571509477:L02DC0495F_1.png",55,25,"100 gm",false,1,100,4.5,0,true
"Maaza Mango Drink - 600 Ml","Soft Drinks","Maaza","Mango drink from Coca-Cola India. Made with Alphonso mango pulp.","https://images.dealshare.in/offerImage/1716897431Kol25604_1.webp",40,36,"600 ml",false,1,100,4.5,0,true
"Super Saver Mixed Dry Fruits - 500 Gm","Dry Fruits","Super Saver","Premium mixed dry fruits.","https://media.dealshare.in/img/offer/37911B1963_1.png",480,241,"500 gm",false,1,100,4.5,0,true
"Diggam Premium Chakki Fresh Atta - 5 Kg","Staples","Diggam","Fresh atta and dalia. Quality grains.","https://images.dealshare.in/1754374760314:N8517D1FC9_1.png?tr=f-webp",254,179,"5 kg",false,1,100,4.5,0,true
"Bombay Shaving Company Flexi Smooth Stud Razor Razor - 5 Units","Personal Care","Bombay Shaving Company","Men's grooming products from Bombay Shaving Company. Indian D2C brand.","https://media.dealshare.in/img/offer/B2B37DF655_1.png",125,105,"5 pieces",false,1,100,4.5,0,true
"Godrej Fab Liquid Detergent Refill Pouch For Machine - 4 Ltr","Detergents","Godrej Fab","Detergent powder from Unilever. Effective cleaning.","https://media.dealshare.in/img/offer/74D50CE2E4_1.png",400,370,"4 ltr",false,1,100,4.5,0,true
"Dettol Original Soap - 100 Gm (Pack Of 4)","Personal Care","Dettol","Antiseptic soap with germ protection. Refreshing formula for daily hygiene. From Reckitt Benckiser.","https://media.dealshare.in/img/offer/F476691400_1.png",168,153,"400 gm",false,1,100,4.5,0,true
"L'Oreal Paris 3x Hair Fall Repair Shampoo - 175 Ml","Personal Care","L'Oreal Paris","Hair care from L'Oréal Paris. Formulated for strength and nourishment.","https://media.dealshare.in/img/offer/6FDA72AB41_1.png",219,191,"175 ml",false,1,100,4.5,0,true
"Mogu Mogu Strawberry Juice With 25% Nata De Coco - 320 Ml","Soft Drinks","Mogu Mogu","Mixed fruit juice. Real fruit content.","https://media.dealshare.in/img/offer/2540E38206_1.webp",75,62,"320 ml",false,1,100,4.5,0,true
"Gold Touch Ghee (jar) - 100 Ml","Dairy","Gold Touch","Pure desi ghee. Traditional clarified butter.","https://images.dealshare.in/1752931720277:6DDDB18D8C_1.png?tr=f-webp",88,73,"100 ml",false,1,100,4.5,0,true
"Hilton Notlih Rock Salt -1 Kg","salt-sugar","Hilton","Iodised salt. Essential for daily cooking.","https://images.dealshare.in/offerImage/17260567440E56E31C49_1.webp",100,52,"1 kg",false,1,100,4.5,0,true
"Joy Complete Moisture Body Lotion - 300 Ml (Buy 1 Get 1 Free)","Personal Care","Joy Complete","Nourishing body lotion for soft, hydrated skin. From ITC.","https://media.dealshare.in/img/offer/1751422029271:53D3B722F8_1.png?tr=f-webp",598,299,"2 x 300 ml",false,1,100,4.5,0,true
"Joy Honey & Almonds Advanced Nourishing Body Lotion - 300 Ml","Personal Care","Joy Honey","Nourishing body lotion for soft, hydrated skin. From ITC.","https://images.dealshare.in/offerImage/1707124355Deal55837_1.webp",290,145,"300 ml",false,1,100,4.5,0,true
"Cetaphil Gentle Skin Cleanser - 250 Ml","Personal Care","Cetaphil","Dermatologist-recommended gentle cleanser. Suitable for sensitive skin. From Galderma.","https://media.dealshare.in/img/offer/D702E09304_1.png",769,653,"250 ml",false,1,100,4.5,0,true
"Glow & Lovely Bright Glow Facewash - 100 Gm","Personal Care","Glow & Lovely","Face wash for radiant, even-toned skin. From Hindustan Unilever.","https://media.dealshare.in/img/offer/1729076053145:78ADEAE0D8_1.webp",160,129,"100 gm",false,1,100,4.5,0,true
"Center Fruit Tennis Ball Shape Pineapple Flavour Liquid Filled Chewing Gum (16 Pieces) - 67.2 Gm","chocolates-candies","Center Fruit","Liquid-filled chewing gum. From Perfetti Van Melle.","https://images.dealshare.in/1754549230840M7A7934114_1.png?tr=f-webp",50,44,"67.2 gm",false,1,100,4.5,0,true
"Fruittella Orange Flavour Chewy Toffee Stick - 45 Gm x 3","chocolates-candies","Fruittella","Chewing gum and mints from Wrigley (Mars Wrigley).","https://media.dealshare.in/img/offer/1751274093231:DCB4BD0572_1.png?tr=f-webp",105,85,"3 x 45 gm",false,1,100,4.5,0,true
"Emami Healthy & Tasty Refined Soyabean Oil (pouch) - 825 Gm x 3","Oils","Emami","Refined cooking oil. From Emami.","https://media.dealshare.in/img/offer/1752810278442:B488B42291_1.png?tr=f-webp",480,404,"3 x 825 gm",false,1,100,4.5,0,true
"Agro Fresh Atta - 10 Kg","Staples","Agro Fresh","Fresh atta and dalia. Quality grains.","https://images.dealshare.in/1750427560942:01935F21ED_1.png?tr=f-webp",525,399,"10 kg",false,1,100,4.5,0,true
"Cremica Party Cracker - 400 Gm x 2","Bakery","Cremica","Biscuits and cookies from Cremica (Mrs. Bector's).","https://media.dealshare.in/img/offer/1752491179945:1F0B57A839_1.png?tr=f-webp",220,89,"2 x 400 gm",false,1,100,4.5,0,true
"Bella Vita Unisex Perfume Gift Set - 20 Ml x 4","Personal Care","Bella Vita","Long-lasting fragrance with premium notes. Indian fragrance brand.","https://media.dealshare.in/img/offer/1729007908864:0F5D9C643E_1.webp",649,454,"80 ml",false,1,100,4.5,0,true
"Cremica Coconut Cookies - 85.71 Gm x 2","Bakery","Cremica","Biscuits and cookies from Cremica (Mrs. Bector's).","https://media.dealshare.in/img/offer/1752491183154:2166C23DA8_1.png?tr=f-webp",40,20,"2 x 85.71 gm",false,1,100,4.5,0,true
"Crax Curls (chatpata Masala) - 82 Gm (Buy 1 Get 1 Free)","Snacks","Crax","Crunchy snack from Crax (DFM Foods).","https://media.dealshare.in/img/offer/1751435041185:6509867FFC_1.png?tr=f-webp",120,60,"2 x 82 gm",false,1,100,4.5,0,true
"Colgate Bamboo Charcoal & Mint Toothpaste - 120 Gm","Personal Care","Colgate","Oral care from Colgate-Palmolive. Trusted for cavity protection and fresh breath.","https://media.dealshare.in/img/offer/F5AB3FE1ED_1.webp",220,198,"120 gm",false,1,100,4.5,0,true
"Mishti Dhampur Premium Quality Sugar - 1 Kg x 2","salt-sugar","Mishti Dhampur","Premium quality sugar. From Mishti Dhampur.","https://media.dealshare.in/img/offer/1753952055502:B223B012EF_1.png?tr=f-webp",130,107,"2 x 1 kg",false,1,100,4.5,0,true
"Retro Rush Chilli Guava Flavour Candy - 90 Gm","chocolates-candies","Retro Rush","Flavored candy.","https://media.dealshare.in/img/offer/5C1082B32D_1.webp",38,18,"90 gm",false,1,100,4.5,0,true
"Cadbury Dairy Milk Roast Almond Chocolate Bar - 36 Gm","chocolates-candies","Cadbury","Chocolate from Cadbury (Mondelez). Premium milk chocolate.","https://media.dealshare.in/img/offer/1752741556090:B927CFA052_1.png",55,52,"36 gm",false,1,100,4.5,0,true
"Elly Black Elastic Band - 12 Units","Personal Care","Elly","Hair accessories.","https://media.dealshare.in/img/offer/9C33E07D54_1.png",60,30,"12 unit",false,1,100,4.5,0,true
"Swaccha Neem, Tulsi, Haldi Soap - 125 Gm","Personal Care","Swaccha","Herbal soap with natural ingredients like neem, tulsi and turmeric.","https://media.dealshare.in/img/offer/1740804204304:0C52855649_1.png",50,25,"125 gm",false,1,100,4.5,0,true
"Everyuth Tulsi Turmeric Facewash - 150 Gm","Personal Care","Everyuth","Face wash for radiant, even-toned skin. From Hindustan Unilever.","https://media.dealshare.in/img/offer/5CE57519A0_1.webp",225,112,"150 gm",false,1,100,4.5,0,true
"Clinic Plus Strong & Long Shampoo Sachets - 6 Ml x 96","Personal Care","Clinic Plus","Hair care from L'Oréal Paris. Formulated for strength and nourishment.","https://media.dealshare.in/img/offer/1752669266984:D608EAB03C_1.png?tr=f-webp",96,87,"96 x 6 ml",false,1,100,4.5,0,true
"Sampoorti Iodised Salt - 1 Kg","salt-sugar","Sampoorti","Iodised salt. Essential for daily cooking.","https://media.dealshare.in/img/offer/DFD7BDE8E2_1.webp?tr=f-webp",30,30,"1 kg",false,1,100,4.5,0,true
"Sunsilk Black Shine Shampoo - 350 Ml","Personal Care","Sunsilk","Hair care from L'Oréal Paris. Formulated for strength and nourishment.","https://media.dealshare.in/img/offer/8F40E253CD_1.webp",345,327,"350 ml",false,1,100,4.5,0,true
"Freshgold Pomegranate Juice (Tetra) - 1 Ltr","Soft Drinks","Freshgold","Mixed fruit juice. Real fruit content.","https://media.dealshare.in/img/offer/1752838452569:88A2F38588_1.png",130,73,"1 ltr",false,1,100,4.5,0,true
"Whisper Ultra Clean Sanitary Pads (XL+) - Pack Of 15","Personal Care","Whisper Ultra","Comfortable sanitary pads for daily use. Absorbent and soft. Indian feminine hygiene brand.","https://media.dealshare.in/img/offer/0D0525371F_1.webp",200,190,"15 units",false,1,100,4.5,0,true
"Sunlight Detergent Powder - 3 Kg","Detergents","Sunlight","Detergent powder from Unilever. Effective cleaning.","https://images.dealshare.in/1750524406519:480C6A8AF1_1.png?tr=f-webp",280,245,"3 kg",false,1,100,4.5,0,true
"Mukharochak Sweet & Sour Chanachur Namkeen - 200 Gm","Snacks","Mukharochak","Traditional Bengali chanachur. Sweet and sour flavor.","https://images.dealshare.in/offerImage/1718020991Kol22376_1.webp",70,66,"200 gm",false,1,100,4.5,0,true
"Bombay Shaving Company Sensitive Shaving Foam - 425 Gm","Personal Care","Bombay Shaving Company","Men's grooming products from Bombay Shaving Company. Indian D2C brand.","https://media.dealshare.in/img/offer/127900D37E_1.png",299,149,"425 gm",false,1,100,4.5,0,true
"Unibic Fruit & Nut Biscuits - 450 Gm (Buy 1 Get 1 Free)","Bakery","Unibic","Premium biscuits from Unibic.","https://media.dealshare.in/img/offer/1751446751766:BD9B93FC4F_1.png?tr=f-webp",400,200,"2 x 450 gm",false,1,100,4.5,0,true
"Super Saver Matar Dal Economy - 1 Kg","Staples","Super Saver","Super Saver product. Super Saver Matar Dal Economy. Quality assured.","https://images.dealshare.in/1753789419712:B50CE884A5_1.png?tr=f-webp",100,58,"1 kg",false,1,100,4.5,0,true
"Yogabar Muesli - Fruits Nuts And Seeds - 400 Gm","breakfast-cereals","Yogabar","Healthy muesli with fruits, nuts and seeds. From Yogabar.","https://media.dealshare.in/img/offer/BA7DD31F77_1.webp",390,195,"400 gm",false,1,100,4.5,0,true
"Lux Fresh Glow Soap 150 Gm (Pack Of 3) - 450 Gm","Personal Care","Lux","Luxurious bathing soap with skin-nourishing oils. Available in multiple fragrances. From Unilever.","https://media.dealshare.in/img/offer/03A4A24519_1.png",198,194,"450 gm",false,1,100,4.5,0,true
"Nivea Men Dark Spot Reduction Facewash - 50 Gm","Personal Care","Nivea Men","Face wash for radiant, even-toned skin. From Hindustan Unilever.","https://media.dealshare.in/img/offer/92F57FC296_1.webp",115,103,"50 gm",false,1,100,4.5,0,true
"Sampoorti Moong Dal Dhuli - 500 Gm","Staples","Sampoorti","Premium staples and spices. Quality assured.","https://media.dealshare.in/img/offer/1734774925555:679AAA39E5_1.webp",105,75,"500 gm",false,1,100,4.5,0,true
"Storia Coconut Water - 200 Ml","Soft Drinks","Storia","Natural coconut water. Refreshing and hydrating.","https://media.dealshare.in/img/offer/337EA358E2_1.png",55,28,"200 ml",false,1,100,4.5,0,true
"Bombay Shaving Red Spice Deo - 150 Ml & Free Bombay Shaving Black Vibe Deo - 150 Ml x 2","Personal Care","Bombay Shaving","Men's grooming products from Bombay Shaving Company. Indian D2C brand.","https://media.dealshare.in/img/offer/1741419189146:Combo_Ncr27383.png?tr=f-webp",1065,355,"Combo of 2",false,1,100,4.5,0,true
"L'Oreal Casting Creme Gloss 300 Darkest Brown Hair Colour (60 Gm + 60 Ml + 40 Gm) - 160 Gm","Personal Care","L'Oreal Casting","Hair care from L'Oréal Paris. Formulated for strength and nourishment.","https://images.dealshare.in/1753944697554:4C0017AF3C_1.png?tr=f-webp",729,691,"160 gm",false,1,100,4.5,0,true
"Wagh Bakri Instant Ginger Tea - 140 Gm","Beverages","Wagh Bakri","Instant ginger tea from Wagh Bakri.","https://media.dealshare.in/img/offer/17549F4829_1.png",150,125,"140 gm",false,1,100,4.5,0,true
"Loose Moong Dal","Staples","","Loose Moong Dal. Quality product.","https://c.ndtvimg.com/2023-07/2k660c8g_green-moong_625x300_12_July_23.jpg?im=FeatureCrop,algorithm=dnn,width=620,height=350?im=FaceCrop,algorithm=dnn,width=1200,height=886",184,150,"piece",true,1,100,4.8,153,true
"Cadbury Dairy Milk Crispello Chocolate - 35 Gm","chocolates-candies","Cadbury","Chocolate from Cadbury (Mondelez). Premium milk chocolate.","https://media.dealshare.in/img/offer/2970DDF73C_1.webp",45,42,"35 gm",false,1,100,4.5,0,true
"Head & Shoulders Anti Dandruff Cool Menthol Shampoo  - 650 Ml","Personal Care","Head & Shoulders","Anti-dandruff shampoo with pyrithione zinc. Leaves hair smooth and dandruff-free. From Procter & Gamble.","https://media.dealshare.in/img/offer/4E051368A8_1.webp",989,445,"650 ml",false,1,100,4.5,0,true
"Dabur Red Toothpaste -100 Gm","Personal Care","Dabur","Oral care from Colgate-Palmolive. Trusted for cavity protection and fresh breath.","https://media.dealshare.in/img/offer/4B181F0AC5_1.webp",75,71,"100 gm",false,1,100,4.5,0,true
"Himalaya Puri Neem Face Wash - 100 Ml","Personal Care","Himalaya","Herbal soap with natural ingredients like neem, tulsi and turmeric.","https://media.dealshare.in/img/offer/1733306912237:2B32DBE4D2_1.webp",179,163,"100 ml",false,1,100,4.5,0,true
"Vaseline Intensive Care Aloe Fresh Body Lotion - 400 Ml","Personal Care","Vaseline","Moisturizing body care from Vaseline (Unilever). Hydrates and protects skin.","https://media.dealshare.in/img/offer/F1B5A6BF0C_1.png",540,269,"400 ml",false,1,100,4.5,0,true
"Pears Pure & Gentle Bathing Soap - 125 Gm (Pack Of 3)","Personal Care","Pears","Dermatologist-recommended gentle cleanser. Suitable for sensitive skin. From Galderma.","https://media.dealshare.in/img/offer/1751011292214:F8CEC54FB5_1.png",214,139,"375 gm",false,1,100,4.5,0,true
"Tulips Sensitive Baby Wet Wipes With Lid Grape Extract - 72 Wipes","Personal Care","Tulips","Gentle baby wipes for sensitive skin.","https://media.dealshare.in/img/offer/3892FD6FAC_1.webp",155,77,"1 unit",false,1,100,4.5,0,true
"Sampoorti Kadak Leaf Tea - 1 Kg","Beverages","Sampoorti","Instant ginger tea from Wagh Bakri.","https://media.dealshare.in/img/offer/1751873204520:A8E384053F_1.png",300,170,"1 kg",false,1,100,4.5,0,true
"Vlcc Papaya & Apricot Facescrub - 80 Gm","Personal Care","VLCC","Skincare from VLCC. Helps improve skin texture.","https://media.dealshare.in/img/offer/C00450CEF6_1.webp",249,159,"80 gm",false,1,100,4.5,0,true
"Mirabelle Cucumber Facial Sheet Mask - 25 Ml","Personal Care","Mirabelle Cucumber","Mirabelle Cucumber product. Mirabelle Cucumber Facial Sheet Mask. Quality assured.","https://media.dealshare.in/img/offer/043670D4DD_1.webp",99,49,"25 ml",false,1,100,4.5,0,true
"Yutika Nourishing Soft Touch Aloe Vera Soothing Body Lotion - 300 Ml (Buy 1 Get 1 Free)","Personal Care","Yutika","Moisturizing body care from Vaseline (Unilever). Hydrates and protects skin.","https://media.dealshare.in/img/offer/1754378189822:5E0D473FFA_1.png?tr=f-webp",398,199,"2 x 300 ml",false,1,100,4.5,0,true
"Deko Comb Set (pistachio) - Pack Of 3","Personal Care","Deko Comb","Hair comb from Zodiac. Unisex design.","https://media.dealshare.in/img/offer/3CD6C7A4F5_1.png",49,35,"3 pack",false,1,100,4.5,0,true
"Continental This Cappuccino (sachets) 22 Gm (pack Of 6) - 132 Gm","Beverages","Continental This","Continental This product. Continental This Cappuccino (sachets) 22 Gm (pack Of 6). Quality assured.","https://images.dealshare.in/1754018951209:V896334A88_1.png?tr=f-webp",200,182,"132 gm",false,1,100,4.5,0,true
"Chemko Detergent Powder Jasmine & Rose - 1 Kg x 3","Detergents","Chemko Detergent","Detergent powder from Unilever. Effective cleaning.","https://media.dealshare.in/img/offer/1753932475054:C071D0F19E_1.png?tr=f-webp",225,109,"3 x 1 kg",false,1,100,4.5,0,true
"Crax Corn Rings (Masala Mania) - 53 Gm","Snacks","Crax","Crunchy snack from Crax (DFM Foods).","https://media.dealshare.in/img/offer/Deal62375.webp",25,23,"53 gm",false,1,100,4.5,0,true
"Riya Bindas Perfume - 50 Ml","Personal Care","Riya Bindas","Long-lasting fragrance with premium notes. Indian fragrance brand.","https://media.dealshare.in/img/offer/15C3C183BB_1.png",299,149,"50 ml",false,1,100,4.5,0,true
"Joy Pure Aloe Light Moisturiser Serum In Lotion - 300 Ml","Personal Care","Joy","Lightweight serum enriched with Kakadu Plum (100x more Vitamin C than oranges). Reduces dullness, fights aging and pollution damage. Dermatologically tested.","https://media.dealshare.in/img/offer/2A597B20F7_1.webp",330,165,"300 ml",false,1,100,4.5,0,true
"Charminar Assam Tea (pouch) - 250 Gm","Beverages","Charminar Assam","Instant ginger tea from Wagh Bakri.","https://media.dealshare.in/img/offer/Kol19177.webp",70,40,"250 gm",false,1,100,4.5,0,true
